,id,date_time,year,month,mdate,day,time,sensor_id,sensor_name_x,hourly_counts,sensor_description,sensor_name_y,installation_date,status,note,direction_1,direction_2,latitude,longitude,location
92,2887720,11/1/2019,2019,November,1,Friday,19,11,Waterfront City,123,Waterfront City,WatCit_T,1/20/2009,A,,East,West,-37.81564989,144.939707,"(-37.81564989, 144.93970695)"
93,2887721,11/1/2019,2019,November,1,Friday,19,8,Webb Bridge,221,Webb Bridge,WebBN_T,3/24/2009,A,,North,South,-37.82293543,144.9471751,"(-37.82293543, 144.94717511)"
94,2887722,11/1/2019,2019,November,1,Friday,19,7,Birrarung Marr,436,Birrarung Marr,Fed_T,12/17/2014,A,,East,West,-37.81862929,144.971694,"(-37.81862929, 144.97169395)"
95,2887723,11/1/2019,2019,November,1,Friday,19,5,Princes Bridge,"2,530",Princes Bridge,PriNW_T,3/26/2009,A,,North,South,-37.81874249,144.9678766,"(-37.81874249, 144.96787656)"
96,2887724,11/1/2019,2019,November,1,Friday,19,6,Flinders Street Station Underpass,"2,467",Flinders Street Station Underpass,FliS_T,3/25/2009,A,Upgraded on 8/09/21,North,South,-37.81911704,144.9655826,"(-37.81911704, 144.96558256)"
97,2887725,11/1/2019,2019,November,1,Friday,19,14,Sandridge Bridge,38,Sandridge Bridge,SanBri_T,9/25/2019,A,,North,South,-37.82011242,144.962919,"(-37.82011242, 144.96291898)"
98,2887726,11/1/2019,2019,November,1,Friday,19,26,QV Market-Elizabeth St (West),698,QV Market-Elizabeth St (West),Eli483_T,9/28/2013,A,,South,North,-37.80869542,144.960494,"(-37.80869542, 144.96049404)"
99,2887727,11/1/2019,2019,November,1,Friday,19,24,Spencer St-Collins St (North),"1,566",Spencer St-Collins St (North),Col620_T,9/2/2013,A,,East,West,-37.81887962,144.954492,"(-37.81887962, 144.95449198)"
100,2887728,11/1/2019,2019,November,1,Friday,19,23,Spencer St-Collins St (South),235,Spencer St-Collins St (South),Col623_T,9/2/2013,A,,East,West,-37.81909256,144.9545275,"(-37.81909256, 144.95452749)"
101,2887729,11/1/2019,2019,November,1,Friday,19,25,Melbourne Convention Exhibition Centre,"1,741",Melbourne Convention Exhibition Centre,MCEC_T,10/2/2019,A,Sensor relocated from 14 to 25 on 2/10/2019,East,West,-37.82401776,144.9560443,"(-37.82401776, 144.95604426)"
102,2887730,11/1/2019,2019,November,1,Friday,19,21,Bourke St-Russell St (West),"1,117",Bourke St-Russell St (West),Rus180_T,9/2/2013,A,,South,North,-37.81244703,144.9677876,"(-37.81244703, 144.96778757)"
103,2887731,11/1/2019,2019,November,1,Friday,19,20,Chinatown-Lt Bourke St (South),"1,013",Chinatown-Lt Bourke St (South),LtB170_T,9/6/2013,A,,East,West,-37.81172913,144.9682466,"(-37.81172913, 144.9682466)"
104,2887732,11/1/2019,2019,November,1,Friday,19,19,Chinatown-Swanston St (North),"1,404",Chinatown-Swanston St (North),LtB210_T,9/2/2013,A,,East,West,-37.81237202,144.9655067,"(-37.81237202, 144.96550671)"
105,2887733,11/1/2019,2019,November,1,Friday,19,22,Flinders St-Elizabeth St (East),"2,647",Flinders St-Elizabeth St (East),Eli274_T,8/12/2013,A,,South,North,-37.81786445,144.9650682,"(-37.81786445, 144.96506823)"
106,2887734,11/1/2019,2019,November,1,Friday,19,27,QV Market-Peel St,187,QV Market-Peel St,Vic_T,8/16/2013,A,,East,West,-37.80606888,144.9564469,"(-37.80606888, 144.95644693)"
107,2887735,11/1/2019,2019,November,1,Friday,19,28,The Arts Centre,"1,342",The Arts Centre,VAC_T,8/23/2013,A,,South,North,-37.82129924,144.9687931,"(-37.82129924, 144.96879309)"
108,2887736,11/1/2019,2019,November,1,Friday,19,31,Lygon St (West),512,Lygon St (West),Lyg161_T,10/10/2013,A,,South,North,-37.8016968,144.9665891,"(-37.8016968, 144.96658911)"
109,2887737,11/1/2019,2019,November,1,Friday,19,30,Lonsdale St (South),"1,184",Lonsdale St (South),Lon189_T,10/14/2013,A,,East,West,-37.81121849,144.9665681,"(-37.81121849, 144.96656807)"
110,2887738,11/1/2019,2019,November,1,Friday,19,34,Flinders St-Spark La,158,Flinders St-Spark La,Fli32_T,6/8/2014,A,,East,West,-37.81537985,144.9741505,"(-37.81537985, 144.9741505)"
111,2887739,11/1/2019,2019,November,1,Friday,19,39,Alfred Place,289,Alfred Place,AlfPl_T,12/4/2019,A,In 4/12/2019 sensor upgraded,South,North,-37.81379749,144.9699575,"(-37.81379749, 144.96995745)"
112,2887740,11/1/2019,2019,November,1,Friday,19,37,Lygon St (East),293,Lygon St (East),Lyg260_T,2/11/2015,A,,North,South,-37.80310271,144.9667145,"(-37.80310271, 144.96671452)"
113,2887741,11/1/2019,2019,November,1,Friday,19,40,Lonsdale St-Spring St (West),384,Lonsdale St-Spring St (West),Spr201_T,1/19/2015,A,,South,North,-37.80999341,144.9722759,"(-37.80999341, 144.97227588)"
114,2887742,11/1/2019,2019,November,1,Friday,19,36,Queen St (West),420,Queen St (West),Que85_T,1/20/2015,A,,South,North,-37.81652527,144.9612106,"(-37.81652527, 144.96121063)"
115,2887743,11/1/2019,2019,November,1,Friday,19,29,St Kilda Rd-Alexandra Gardens,502,St Kilda Rd-Alexandra Gardens,AG_T,10/11/2013,A,sensor upgraded from laser to 3D on 19/12/2019,North,South,-37.81965808,144.9686345,"(-37.81965808, 144.96863453)"
116,2887744,11/1/2019,2019,November,1,Friday,19,42,Grattan St-Swanston St (West),303,Grattan St-Swanston St (West),UM1_T,4/15/2015,A,,South,North,-37.80008565,144.9638641,"(-37.80008565, 144.96386412)"
117,2887745,11/1/2019,2019,November,1,Friday,19,43,Monash Rd-Swanston St (West),42,Monash Rd-Swanston St (West),UM2_T,4/15/2015,A,,South,North,-37.79844525,144.9641178,"(-37.79844525, 144.96411782)"
118,2887746,11/1/2019,2019,November,1,Friday,19,44,Tin Alley-Swanston St (West),41,Tin Alley-Swanston St (West),UM3_T,4/15/2015,A,,South,North,-37.79690473,144.9644038,"(-37.79690473, 144.96440378)"
119,2887747,11/1/2019,2019,November,1,Friday,19,35,Southbank,"2,058",Southbank,SouthB_T,4/15/2021,A,River side,East,West,-37.82017828,144.9650888,"(-37.82017828, 144.96508877)"
120,2887748,11/1/2019,2019,November,1,Friday,19,45,Little Collins St-Swanston St (East),"1,647",Little Collins St-Swanston St (East),Swa148_T,6/29/2017,A,,North,South,-37.81414074,144.9660938,"(-37.81414074, 144.9660938)"
121,2887749,11/1/2019,2019,November,1,Friday,19,46,Pelham St (S),134,Pelham St (South),Pel147_T,7/10/2017,A,,West,East,-37.80240719,144.9615673,"(-37.80240719, 144.96156731)"
122,2887750,11/1/2019,2019,November,1,Friday,19,47,Melbourne Central-Elizabeth St (East),"1,600",Melbourne Central-Elizabeth St (East),Eli250_T,8/24/2017,A,,South,North,-37.81160331,144.9622008,"(-37.81160331, 144.96220077)"
123,2887751,11/1/2019,2019,November,1,Friday,19,48,QVM-Queen St (East),256,QVM-Queen St (East),QVMQ_T,10/2/2017,A,,East,West,-37.80631581,144.958667,"(-37.80631581, 144.95866698)"
124,2887752,11/1/2019,2019,November,1,Friday,19,49,QVM-Therry St (South),190,QVM-Therry St (South),Eli501_T,11/29/2017,A,,West,East,-37.80730067,144.9595606,"(-37.80730067, 144.95956055)"
