,Unnamed: 0,id,date_time,year,month,mdate,day,time,sensor_id,sensor_name_x,hourly_counts,sensor_description,sensor_name_y,installation_date,status,note,direction_1,direction_2,latitude,longitude,location
90,90,2887718,2019-11-01,2019,November,1,Friday,19,10,Victoria Point,126,Victoria Point,BouHbr_T,2009/04/23,A,,West,East,-37.81876473,144.94710545,"(-37.81876473, 144.94710545)"
91,91,2887719,2019-11-01,2019,November,1,Friday,19,12,New Quay,385,New Quay,NewQ_T,2009/01/21,A,,West,East,-37.81457987,144.94292398,"(-37.81457987, 144.94292398)"
92,92,2887720,2019-11-01,2019,November,1,Friday,19,11,Waterfront City,123,Waterfront City,WatCit_T,2009/01/20,A,,East,West,-37.81564989,144.93970695,"(-37.81564989, 144.93970695)"
93,93,2887721,2019-11-01,2019,November,1,Friday,19,8,Webb Bridge,221,Webb Bridge,WebBN_T,2009/03/24,A,,North,South,-37.82293543,144.94717511,"(-37.82293543, 144.94717511)"
94,94,2887722,2019-11-01,2019,November,1,Friday,19,7,Birrarung Marr,436,Birrarung Marr,Fed_T,2014/12/17,A,,East,West,-37.81862929,144.97169395,"(-37.81862929, 144.97169395)"
95,95,2887723,2019-11-01,2019,November,1,Friday,19,5,Princes Bridge,2530,Princes Bridge,PriNW_T,2009/03/26,A,,North,South,-37.81874249,144.96787656,"(-37.81874249, 144.96787656)"
96,96,2887724,2019-11-01,2019,November,1,Friday,19,6,Flinders Street Station Underpass,2467,Flinders Street Station Underpass,FliS_T,2009/03/25,A,Upgraded on 8/09/21,North,South,-37.81911704,144.96558256,"(-37.81911704, 144.96558256)"
97,97,2887725,2019-11-01,2019,November,1,Friday,19,14,Sandridge Bridge,38,Sandridge Bridge,SanBri_T,2019/09/25,A,,North,South,-37.82011242,144.96291898,"(-37.82011242, 144.96291898)"
98,98,2887726,2019-11-01,2019,November,1,Friday,19,26,QV Market-Elizabeth St (West),698,QV Market-Elizabeth St (West),Eli483_T,2013/09/28,A,,South,North,-37.80869542,144.96049404,"(-37.80869542, 144.96049404)"
99,99,2887727,2019-11-01,2019,November,1,Friday,19,24,Spencer St-Collins St (North),1566,Spencer St-Collins St (North),Col620_T,2013/09/02,A,,East,West,-37.81887962,144.95449198,"(-37.81887962, 144.95449198)"
100,100,2887728,2019-11-01,2019,November,1,Friday,19,23,Spencer St-Collins St (South),235,Spencer St-Collins St (South),Col623_T,2013/09/02,A,,East,West,-37.81909256,144.95452749,"(-37.81909256, 144.95452749)"
101,101,2887729,2019-11-01,2019,November,1,Friday,19,25,Melbourne Convention Exhibition Centre,1741,Melbourne Convention Exhibition Centre,MCEC_T,2019/10/02,A,Sensor relocated from 14 to 25 on 2/10/2019,East,West,-37.82401776,144.95604426,"(-37.82401776, 144.95604426)"
102,102,2887730,2019-11-01,2019,November,1,Friday,19,21,Bourke St-Russell St (West),1117,Bourke St-Russell St (West),Rus180_T,2013/09/02,A,,South,North,-37.81244703,144.96778757,"(-37.81244703, 144.96778757)"
103,103,2887731,2019-11-01,2019,November,1,Friday,19,20,Chinatown-Lt Bourke St (South),1013,Chinatown-Lt Bourke St (South),LtB170_T,2013/09/06,A,,East,West,-37.81172913,144.9682466,"(-37.81172913, 144.9682466)"
104,104,2887732,2019-11-01,2019,November,1,Friday,19,19,Chinatown-Swanston St (North),1404,Chinatown-Swanston St (North),LtB210_T,2013/09/02,A,,East,West,-37.81237202,144.96550671,"(-37.81237202, 144.96550671)"
105,105,2887733,2019-11-01,2019,November,1,Friday,19,22,Flinders St-Elizabeth St (East),2647,Flinders St-Elizabeth St (East),Eli274_T,2013/08/12,A,,South,North,-37.81786445,144.96506823,"(-37.81786445, 144.96506823)"
106,106,2887734,2019-11-01,2019,November,1,Friday,19,27,QV Market-Peel St,187,QV Market-Peel St,Vic_T,2013/08/16,A,,East,West,-37.80606888,144.95644693,"(-37.80606888, 144.95644693)"
107,107,2887735,2019-11-01,2019,November,1,Friday,19,28,The Arts Centre,1342,The Arts Centre,VAC_T,2013/08/23,A,,South,North,-37.82129924,144.96879309,"(-37.82129924, 144.96879309)"
108,108,2887736,2019-11-01,2019,November,1,Friday,19,31,Lygon St (West),512,Lygon St (West),Lyg161_T,2013/10/10,A,,South,North,-37.8016968,144.96658911,"(-37.8016968, 144.96658911)"
109,109,2887737,2019-11-01,2019,November,1,Friday,19,30,Lonsdale St (South),1184,Lonsdale St (South),Lon189_T,2013/10/14,A,,East,West,-37.81121849,144.96656807,"(-37.81121849, 144.96656807)"
110,110,2887738,2019-11-01,2019,November,1,Friday,19,34,Flinders St-Spark La,158,Flinders St-Spark La,Fli32_T,2014/06/08,A,,East,West,-37.81537985,144.9741505,"(-37.81537985, 144.9741505)"
111,111,2887739,2019-11-01,2019,November,1,Friday,19,39,Alfred Place,289,Alfred Place,AlfPl_T,2019/12/04,A,In 4/12/2019 sensor upgraded,South,North,-37.81379749,144.96995745,"(-37.81379749, 144.96995745)"
112,112,2887740,2019-11-01,2019,November,1,Friday,19,37,Lygon St (East),293,Lygon St (East),Lyg260_T,2015/02/11,A,,North,South,-37.80310271,144.96671452,"(-37.80310271, 144.96671452)"
113,113,2887741,2019-11-01,2019,November,1,Friday,19,40,Lonsdale St-Spring St (West),384,Lonsdale St-Spring St (West),Spr201_T,2015/01/19,A,,South,North,-37.80999341,144.97227588,"(-37.80999341, 144.97227588)"
114,114,2887742,2019-11-01,2019,November,1,Friday,19,36,Queen St (West),420,Queen St (West),Que85_T,2015/01/20,A,,South,North,-37.81652527,144.96121063,"(-37.81652527, 144.96121063)"
115,115,2887743,2019-11-01,2019,November,1,Friday,19,29,St Kilda Rd-Alexandra Gardens,502,St Kilda Rd-Alexandra Gardens,AG_T,2013/10/11,A,sensor upgraded from laser to 3D on 19/12/2019,North,South,-37.81965808,144.96863453,"(-37.81965808, 144.96863453)"
116,116,2887744,2019-11-01,2019,November,1,Friday,19,42,Grattan St-Swanston St (West),303,Grattan St-Swanston St (West),UM1_T,2015/04/15,A,,South,North,-37.80008565,144.96386412,"(-37.80008565, 144.96386412)"
117,117,2887745,2019-11-01,2019,November,1,Friday,19,43,Monash Rd-Swanston St (West),42,Monash Rd-Swanston St (West),UM2_T,2015/04/15,A,,South,North,-37.79844525,144.96411782,"(-37.79844525, 144.96411782)"
118,118,2887746,2019-11-01,2019,November,1,Friday,19,44,Tin Alley-Swanston St (West),41,Tin Alley-Swanston St (West),UM3_T,2015/04/15,A,,South,North,-37.79690473,144.96440378,"(-37.79690473, 144.96440378)"
119,119,2887747,2019-11-01,2019,November,1,Friday,19,35,Southbank,2058,Southbank,SouthB_T,2021/04/15,A,River side,East,West,-37.82017828,144.96508877,"(-37.82017828, 144.96508877)"
120,120,2887748,2019-11-01,2019,November,1,Friday,19,45,Little Collins St-Swanston St (East),1647,Little Collins St-Swanston St (East),Swa148_T,2017/06/29,A,,North,South,-37.81414074,144.9660938,"(-37.81414074, 144.9660938)"
121,121,2887749,2019-11-01,2019,November,1,Friday,19,46,Pelham St (S),134,Pelham St (South),Pel147_T,2017/07/10,A,,West,East,-37.80240719,144.96156731,"(-37.80240719, 144.96156731)"
122,122,2887750,2019-11-01,2019,November,1,Friday,19,47,Melbourne Central-Elizabeth St (East),1600,Melbourne Central-Elizabeth St (East),Eli250_T,2017/08/24,A,,South,North,-37.81160331,144.96220077,"(-37.81160331, 144.96220077)"
